,Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment,Risk_score
389,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,2,2,7,3,No,Yes,No,No,No,98.75
390,🏢 Medium-sized city,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,2,4,1,1,Yes,No,No,No,No,2.0
391,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,4,4,2,Yes,No,No,No,No,48.4
392,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes,99.86
393,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,3,3,2,1,Yes,No,No,No,No,5.35
394,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,Social celebrations or parties.,1,2,4,3,1,Yes,No,Yes,No,No,6.4
395,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,3,3,10,3,Yes,No,Yes,No,No,98.53
396,🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No,99.54
397,🏘️ Small town,Very important,Very important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,4,10,3,Yes,Yes,Yes,Yes,Yes,99.78
398,🏘️ Small town,Slightly important,Not important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,2,2,3,2,1,Yes,No,No,No,No,3.14
399,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No,48.18
400,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,1,10,3,Yes,Yes,Yes,Yes,Yes,99.7
401,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
402,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,2,1,3,4,2,Yes,No,No,No,No,48.4
403,🏘️ Small town,Slightly important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,2,4,2,1,Yes,No,No,No,No,3.0
404,🏘️ Small town,Very important,Very important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,2,1,Yes,No,No,No,No,6.12
405,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,5,4,2,1,Yes,No,No,No,No,8.57
406,🏘️ Small town,Not important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,Social celebrations or parties.,3,3,2,4,2,No,Yes,Yes,No,No,48.73
407,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,4,10,3,No,No,No,Yes,Yes,99.19
408,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,2,4,4,2,Yes,No,No,No,No,48.8
409,🏘️ Small town,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes,99.81
410,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,2,2,2,7,3,No,Yes,No,No,No,98.57
411,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes,49.05
412,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,4,5,4,2,Yes,No,No,Yes,No,48.84
413,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No,48.88
414,🏘️ Small town,Slightly important,Not important,Slightly important,Not important,I do not keep the track,Uniform Daily Expenses,,1,1,2,2,1,Yes,No,No,No,No,7.12
415,🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,1,4,1,1,Yes,Yes,No,No,No,5.96
416,🏢 Medium-sized city,Slightly important,Not important,Slightly important,Slightly important,I check my bank balance occasionally.,Spend a lot once and then low spending for rest,A planned trip with friends.,3,1,5,2,1,Yes,Yes,No,No,Yes,4.08
417,🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,Social celebrations or parties.,2,2,3,1,1,Yes,No,Yes,No,No,4.22
418,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
419,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,3,4,3,1,Yes,Yes,No,No,No,2.75
420,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,4,5,2,Yes,Yes,No,No,Yes,48.49
421,🏢 Medium-sized city,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,Social celebrations or parties.,4,3,4,5,2,Yes,No,No,Yes,Yes,49.44
422,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,5,4,2,No,Yes,No,Yes,Yes,48.5
423,🏢 Medium-sized city,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,Social celebrations or parties.,4,4,4,5,2,Yes,No,No,Yes,Yes,49.62
424,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
425,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
426,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,2,1,10,3,Yes,No,No,No,No,98.85
427,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,3,9,3,Yes,No,Yes,Yes,Yes,99.28
428,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",4,2,5,5,2,Yes,No,No,No,No,49.21
429,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No,98.61
430,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,Social celebrations or parties.,3,3,3,6,2,Yes,No,No,No,Yes,48.52
431,🏘️ Small town,Very important,Not important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,3,4,3,1,Yes,Yes,Yes,No,Yes,3.54
432,🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No,99.54
433,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
434,🏢 Medium-sized city,Very important,Not important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,A planned trip with friends.,3,2,2,4,2,Yes,No,No,No,No,48.44
435,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,3,9,3,Yes,No,Yes,No,No,99.8
436,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,8,3,Yes,Yes,Yes,Yes,Yes,99.56
437,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
438,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
439,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,3,10,3,Yes,No,Yes,No,No,98.69
440,🏢 Medium-sized city,Not important,Slightly important,Not important,Slightly important,I do not keep the track,Spend a lot once and then low spending for rest,,4,3,2,3,1,Yes,No,No,Yes,Yes,9.33
441,🏘️ Small town,Very important,Very important,Very important,Very important,I do not keep the track,Uniform Daily Expenses,,1,5,5,5,2,Yes,No,No,No,No,49.33
442,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,Yes,No,No,48.55
443,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,5,2,1,Yes,Yes,No,No,No,5.94
444,🏘️ Small town,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,4,3,4,2,Yes,Yes,Yes,Yes,Yes,49.04
445,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",4,2,5,5,2,Yes,No,No,No,No,49.21
446,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,A planned trip with friends.,3,3,3,5,2,Yes,No,No,No,No,48.27
447,🏙️ Big metro city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,4,3,7,3,Yes,No,No,No,No,98.98
448,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,3,2,4,4,2,Yes,Yes,Yes,No,Yes,48.27
449,🏘️ Small town,Very important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,4,4,3,1,Yes,Yes,No,No,No,4.16
450,🏢 Medium-sized city,Very important,Very important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,A planned trip with friends.,3,3,3,5,2,Yes,No,No,No,No,48.27
451,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes,99.86
452,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,3,2,1,Yes,Yes,No,No,No,4.95
453,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes,48.82
454,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
455,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,Yes,No,No,48.55
456,🏘️ Small town,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,4,3,3,2,1,Yes,No,No,No,No,6.83
457,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,5,2,5,2,Yes,Yes,No,No,Yes,48.82
458,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A 50% discount on a brand I highly value.,4,2,5,6,2,No,No,Yes,No,No,48.89
459,🏙️ Big metro city,Not important,Not important,Not important,Not important,I check my bank balance occasionally.,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,9.34
460,🏙️ Big metro city,Not important,Very important,Slightly important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,3,3,10,3,No,Yes,Yes,Yes,No,99.69
461,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,1,1,4,1,1,Yes,Yes,No,No,No,5.7
462,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,3,3,10,3,Yes,No,Yes,No,No,98.53
463,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,2,2,1,1,Yes,Yes,No,No,No,2.85
464,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,3,2,4,10,3,Yes,Yes,No,Yes,Yes,98.75
465,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
466,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,4,5,3,1,Yes,No,Yes,No,No,4.69
467,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,,2,2,1,2,1,Yes,No,No,No,No,3.73
468,🏙️ Big metro city,Very important,Very important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A 50% discount on a brand I highly value.,2,1,5,2,1,Yes,Yes,No,No,No,4.22
469,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",1,3,4,1,1,Yes,No,Yes,No,No,5.16
470,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,4,4,2,Yes,No,No,No,No,48.4
471,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,2,2,4,3,1,Yes,Yes,Yes,No,No,1.79
472,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,4,3,5,2,Yes,No,No,No,Yes,48.52
473,🏙️ Big metro city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,"Social celebrations or parties., A planned trip with friends.",2,2,3,1,1,Yes,Yes,No,No,No,3.34
474,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,4,5,4,2,Yes,No,No,No,No,48.37
475,🏙️ Big metro city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,9,3,Yes,Yes,No,Yes,Yes,98.88
476,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,2,5,3,1,Yes,Yes,No,No,No,4.88
477,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
478,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,1,1,2,7,3,No,Yes,No,No,No,98.8
479,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,1,5,2,1,Yes,No,No,No,Yes,3.21
480,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
481,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
482,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,4,2,9,3,Yes,No,Yes,No,No,99.66
483,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,6,2,Yes,Yes,No,No,Yes,48.66
484,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,5,4,2,Yes,No,No,No,No,48.46
485,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,5,4,2,Yes,No,No,No,No,48.89
486,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,3,3,3,1,1,Yes,No,No,No,No,2.89
487,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,2,3,2,1,Yes,Yes,No,No,No,2.27
488,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",2,2,5,2,1,Yes,No,No,No,No,5.41
489,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,5,4,2,No,Yes,No,Yes,Yes,48.5
490,🏙️ Big metro city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",3,2,4,3,1,Yes,Yes,No,No,Yes,3.2
491,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,2,10,3,Yes,No,Yes,No,No,98.71
492,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,3,4,3,1,Yes,Yes,No,No,No,1.82
493,🏘️ Small town,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,3,2,1,9,3,Yes,No,No,No,No,98.69
494,🏙️ Big metro city,Very important,Very important,Slightly important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",2,3,3,5,2,Yes,No,Yes,Yes,Yes,48.97
495,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Spend a lot once and then low spending for rest,,3,1,5,2,1,Yes,Yes,Yes,No,Yes,4.35
496,🏙️ Big metro city,Slightly important,Not important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",3,4,3,9,3,Yes,Yes,No,Yes,Yes,98.88
497,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
498,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,4,5,5,9,3,Yes,Yes,Yes,No,Yes,99.33
499,🏘️ Small town,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,2,5,3,1,Yes,Yes,Yes,No,No,5.71
500,🏘️ Small town,Very important,Not important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,2,2,1,1,Yes,Yes,No,No,No,3.66
501,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,2,3,5,2,Yes,No,No,No,No,48.18
502,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,,1,3,5,10,3,Yes,Yes,No,Yes,No,98.93
503,🏢 Medium-sized city,Not important,Very important,Not important,Not important,I check my bank balance occasionally.,Uniform Daily Expenses,Social celebrations or parties.,4,2,2,5,2,Yes,No,Yes,Yes,Yes,49.56
504,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,4,4,2,No,Yes,No,Yes,Yes,48.45
505,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,3,10,3,Yes,No,Yes,No,No,98.69
506,🏘️ Small town,Slightly important,Very important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,1,2,3,1,Yes,Yes,No,No,No,7.52
